Course Code,Course Title,Course Description,Credit,Distribution,Recommended Prep,Pre Requisites,Exclusion
 ANT208H5 , The Culture Machine: The Anthropology of Everyday Life ,"This course will introduce students to culture and social theory via the lens of popular culture. Commodities, advertising, and new technologies will be considered in light of their cultural content. The course may consider the marketing of identities, gender, sexualities, bodies, ethnicity, religion, and ideology, as well as resistance. ",0.5,Social Science,None,None,None
 ANT209H5 ," War, Trade and Aid: The Anthropology of Global Intervention ","This course explores how anthropology approaches the study of various interventions into human life and society. These forms of intervention--nation building, human rights, and development--differ in the scale and scope of their projects and in what they hope to accomplish. They also have much in common. Each is explicitly concerned with improving the conditions under which people live, and yet each has also been criticized for making things worse rather than better. This course will explore why this might be the case by focusing on examples taken from around the world. ",0.5,Social Science,None,None,None
 ANT210H5 ," Fantasies, Hoaxes and Misrepresentations of the Ancient World ","Have you ever wondered why television programs like Ancient Aliens are so popular or if they have any merit? Have you also wondered why outrageous ideas about the human past seem to be more popular than the message science presents? This course critically evaluates the anatomy of significant hoaxes, outrageous claims, and just plain old ""bad archaeology"" in popular culture. Students will develop the tools to critically evaluate potential hoaxes and fictional accounts of the past by investigating a wide variety of cases that range from attempts to rewrite history using fake discoveries, to the simply outrageous claims created in order to promote racist agendas, to make money, or just for the fun of duping an unsuspecting public. ",0.5,Science,None,None,None
 ANT211H5 ," Sex, Evolution and Behaviour ","This course provides an introduction to the evolutionary significance of mating behaviours and sexual reproduction in modern humans. Students will explore human sexual behaviour with an emphasis on the evolutionary explanations for our mating strategies in relation to other primates. Through lectures, films and readings students will examine such topics as sexual selection, anatomy, sexual development, social organization, and mating patterns. ",0.5,Science,None,None,ANT331H5
 ANT212H5 , Who am I? Topics in Identity and Difference ,"Who am I? This course gives a sociocultural anthropological answer to this question by focusing on culture as a fundamental means by which humans make society. In particular, it considers how the symbolic systems through which humans conceptualise the world and communicate with one another play a fundamental role in defining identity (who you are) and difference (who you aren't). Through cross-cultural comparison, the course shows how the identities and differences we often consider 'natural' - sex, gender, age, race, ethnicity and others - are in fact the product of culture and society. Thus, who you are is a question that must be answered in relation to categories others will recognise and allow you to be. ",0.5,Social Science,None,None,None
 ANT214H5 , Anthropology of Food and Nutrition ,"This course explores human food use and nutrition from a broad anthropological perspective. It examines archaeological evidence of dietary patterns of human ancestors and examines contemporary phenomena such as the preference for sweetness and lactase persistence that are the legacy of ancestral adaptations. It explores significant food revolutions, from the origins of agriculture to the relatively recent phenomenon of biotechnological food production and looks at both the positive and negative effects of these changes on patterns of human growth and health. The goal of the course is to provide students with a basic understanding of nutrition science that is contextualized in contemporary anthropological debates about the costs of changing food systems.",0.5,Science,None,None,None
 ANT215H5 , How Should One Live? An Introduction to the Anthropology of Ethics ,"Few questions are more obviously important than that which Socrates poses in Plato's Republic: ""how should one live?"" This course considers the various ways this question has been asked and the answers it has received across a range of very different contexts. It begins with Socrates' address to the Athenian assembly in The Apology and his conclusion that the examined life is the only one worth living. We then turn to the Greek past and the Homeric background against which the reflective life, that Socrates exemplified, stood in stark contrast. With this background in place we will proceed to consider the various ways in which the question of how one should live has been answered across of a range of social settings. Drawing on ethnography as well journalism and documentary film we will consider, for instance, Rastafarianism, Jainism, living ""off-grid"" in North America, deaf communities in the US, transgenderism, and non-binary gender identity. ",0.5,Social Science,ANT102H5,None,None
 ANT216H5 ," Racketeers, Smugglers and Pirates: Anthropology of Illegality ","This course will explore anthropological approaches to the study of various forms of illegal activities. Denaturalizing the state-imposed categories of legality and illegality, the course will examine how the legal-illegal divide is constructed contingently, and unpack moralities, inequalities, precarities, and forms of politics that illegal activities both rely on and make possible. The course will bring together recent ethnographies of racketeering, gang violence, piracy, human trafficking and contraband smuggling from different world regions. ",0.5,Social Science,None,None,None
 ANT217H5 , Anthropology of Law ,"The course is designed to introduce the key concepts, issues, and methods of legal anthropology as a specific field of study in relation to the larger history of the discipline. The course will explore how anthropological works understand and examine the legal and social orders, political and normative authorities, frames of rights, regimes of crime and punishment, and forms of justice-seeking. Accounting for different understandings of law and everyday legal practices, the course readings include canonical texts of legal anthropology as well as recent ethnographies of law. ",0.5,Social Science,None,None,None
 ANT218H5 , The Social Conquest of Earth ,"This course is a quest for the secret of human uniqueness. The success of Homo sapiens, has been described as ""a spectacular evolutionary anomaly"" that has resulted in human domination of the Earth's biosphere. We will use the comparative method to journey through the Animal Kingdom in hopes of discovering the preadaptive elements that enabled such incredible evolutionary success. On our way we will survey chimpanzee warfare, tool using octopuses, eusocial ants, and night-time hunter-gatherer sentinels - all of which will allow us to better understand the forces that shaped unparalleled cooperative networks in humans. Finally, we will investigate the cognitive and behavioural blessings and curses associated with the drive to belong to a group. The goal of the course is to equip students with a greater understanding of the human condition - and how to leverage this understanding to improve their lives. ",0.5,Science,None,None,None
 ANT219H5 , How Do We Know? The Social Anthropology of Knowledge ,"“How do we know what we know?” is a question that has long concerned anthropologists. And in a world like ours – where “fake news,” religious credos and conspiracy theories coexist with common sense, mainstream media and scientific truth(s) – the question seems more important than ever. This course explore anthropological insights into knowledge and the question of how we know. To do so we will examine a range of contemporary knowledge-making activities which may include surveillance, witchcraft, conspiracy, governance, Artificial Intelligence and Big Data. ",0.5,Social Science,None,None,None
 ANT220H5 , Introduction to the Anthropology of Health ,"This course introduces students to the many strategies anthropologists use to understand patterns of health and disease in human populations through time. It will serve as an entry point into the Anthropology of Health focus and will be a prerequisite for later courses in Growth and Development, Infectious Disease, and the Advanced Seminar in the Anthropology of Health. In this course, the concept of health is examined using bioarchaeology, biomedicine, medical anthropology, and epidemiology. The course examines evolutionary, epigenetic, and life history approaches to understanding chronic disease risk in human populations, culminating in an investigation of the role of poverty and social inequality on disease burden. Although the course is designed as an introduction to the Health focus, it is suitable for students seeking training in pre-health disciplines and is open to all students possessing the necessary prerequisites.",0.5,Science,None,ANT101H5 and  ANT102H5,ANT208H1
 ANT221H5 , The Trust Paradox ,"The ultimate question that all life is bound to ask is: how do I survive? Our species, evolved a uniquely human answer, which led to our ascendance as the most dominant on the planet but at what cost? This course explores a central human paradox: how altruism, community, kindness, and war and genocide are all driven by the same core adaptation. We'll call this the Trust Paradox and the evolution of this suite of traits, best described as coalitionary cognition, is one of the most complex and ancient in our species. We will explore how this, often imperceptible drive, is responsible for our capacity for both cooperation and competition, and allowed us to navigate increasingly complex social landscapes. But in our vast modern world, has this blessing become a curse?",0.5,Science,None,None,None
 ANT241H5 , Anthropology and the Indigenous Peoples of Turtle Island (in Canada) ,"This course will examine the relationship between the field of anthropology and Indigenous people of Turtle Island. We will examine the past, present, and future manifestations of this relationship. This course will emphasize Indigenous, decolonial, and community scholars. Students will be encouraged to think critically and reflect on their own world views. ",0.5,Social Science,None,None,ANT241Y5
 ANT299H5 , Research Opportunity Program ,"This courses provides a richly rewarding opportunity for students in their second year to work in the research project of a professor in return for 299H5 course credit. Students enrolled have an opportunity to become involved in original research, learn research methods and share in the excitement and discovery of acquiring new knowledge. Based on the nature of the project, projects may satisfy the Sciences or Social Sciences distribution requirement. Participating faculty members post their project descriptions for the following summer and fall/winter sessions in early February and students are invited to apply in early March. See Experiential and International Opportunities for more details.",0.5,None,None,None,ANT299Y5
 ANT299Y5 , Research Opportunity Program ,"This courses provides a richly rewarding opportunity for students in their second year to work in the research project of a professor in return for 299Y course credit. Students enrolled have an opportunity to become involved in original research, learn research methods and share in the excitement and discovery of acquiring new knowledge. Based on the nature of the project, projects may satisfy the Sciences or Social Sciences distribution requirement. Participating faculty members post their project descriptions for the following summer and fall/winter sessions in early February and students are invited to apply in early March. See Experiential and International Opportunities for more details.",1,None,None,None,ANT299H5
 ANT300H5 , Cultural Heritage Management: The Past in the Present and for the Future ,"Cultural Heritage Management, also known as cultural resource management or applied archaeology, aims to protect traces of the past such as artifacts, archaeological sites and cultural landscapes, that have meaning for people in the present. This course takes a broad look at cultural heritage, why it matters in the present, and why we need to preserve aspects of it for the future. Topics may include stakeholders and the politics of the past, mechanisms for the protection of heritage and archaeological sites, the heritage management industry, and the methods used to identify, document, and mitigate impacts to archaeological sites, and to preserve the materials recovered. ",0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT306H5 , Forensic Anthropology Field School ,"Introduction to the field of forensic anthropological field techniques and scene interpretation. A 2-week field school will be held on the U of T Mississauga campus (Monday to Friday 9 a.m. to 5 p.m., two weeks in August). Weekly 2-hour classes will be held during the fall term. In these classes, students will examine casts, maps, photos and other evidence collected in the field, for the purposes of scene reconstruction and presentation in court. Limited Enrolment and Application Process: see Anthropology department website for more details.",0.5,Science,None,ANT205H5,None
 ANT310H5 , Political Anthropology of Ancient States ,"Today most people live in state-level societies. But 8,000 years ago, no one did. Why such a dramatic change? This comparative analysis of ancient, complexly organized societies is focused on understanding the processes involved in the functioning of states, examining how various political, social, economic, and religious orientations affected state information, cohesion, maintenance and dissolution. What were the range of alternatives explored in the earliest and later complexly organized societies that developed around the world? ",0.5,Social Science,None,ANT200H5 and  ANT201H5,None
 ANT312H5 , Archaeological Analysis ,"This course will introduce the process of archaeological research, from project design through report write-up. The student will create a project proposal, choose methods of survey and excavation, describe and organize data for analysis, and summarize findings in a project report.",0.5,Science,None,ANT200H5 and  ANT201H5,ARH312Y1
 ANT313H5 ," China, Korea and Japan in Prehistory ","The exploration of the remarkable prehistories of China, the Koreas and Japan challenge western thought on agricultural origins, complex hunter-gatherers, urbanization and the development of centralized authority. This course evaluates current thinking about these issues in the three regions and examines the impact of local archaeological practice on the construction of narratives about the past. ",0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT314H5 , Archaeological Theory ,The course examines theoretical approaches to archeological explanation of the human past. The goals for the course are: 1) to trace the emergence and growth of scientific archeology; and 2) to analyze the development of theoretical approaches in the latter half of the 20th century and first part of the 21st century. ,0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT316H5 , South Asian Archaeology ,"This course surveys the archaeology of South Asia (modern-day India, Pakistan, Sri Lanka and northern regions) from the Palaeolithic to the Medieval Period (+200,000 ya to ca. 1600 CE/AD) using a comparative framework. South Asia is a place where many external cultural traditions mixed with indigenous traditions to create new socioeconomic and sociopolitical entities and sequences. While we will examine classic examples of hunter-gatherer groups, early villages, urban settlements, regional polities, and large empires through time, we will also stress the contemporaneity of groups of people with very different lifestyles -- hunter-gatherers participated in trading networks with town and city dwellers, pastoral nomads moved through settled village regions during their annual migrations. The impact of archaeological research on the region today is seen through the politicization of South Asian prehistory and history that has strongly affected both interpretations of the past and modern political events. Cases such as the debate over the identity of the Harappans and the existence of the Aryans will be evaluated from both an archaeological and a political perspective. ",0.5,Social Science,None,( ANT200H5 and  ANT201H5) or  HIS282H5 or  RLG205H5,None
 ANT317H5 , Pre-contact Indigenous History of Eastern North America ,"This course is a survey of pre-contact and early contact Indigenous history in the Eastern Woodlands of North America from earliest times (ca. 12-15,000 years ago) until AD 1650. Topics covered will include earliest inhabitants, hunter-gatherer-fisher lifeways, the origins of food production, development of village-dwelling tribal communities, and first contact with Europeans. ",0.5,Science,None,ANT200H5 and  ANT201H5,ANT317H1
 ANT318H5 , Archaeological Fieldwork ,"Introduction to archaeological field methods. Practical component of the field school takes place on the UTM campus during the last two weeks of August (Monday-Friday 9:00 am – 5:00 pm). Morning lectures (week one) covering note taking, map making, cultural landscapes, material culture identification and survey and excavation methods, are followed by afternoons in the field applying skills taught that morning. Week two is spent excavating at an archaeological site. During weekly laboratory sessions September – December students learn to process, identify, and catalogue artifacts recovered during the field component. Limited Enrolment and Application Process: see Anthropology department website for more details.",0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT320H5 , Archaeological Approaches to Technology ,"This course focuses on insights into social and cultural processes provided by the study of ancient and historical technology. It emphasizes the importance for archaeological studies of archaeological, textual, experimental and ethnographic data. Organization and control of production,style of technology, and the value of objects will be examined. Throughout, social and cultural as well as economic and functional reasons for the development and adoption of new technologies will be discussed.",0.5,Science,ANT204H5 or  ANT207H5,ANT200H5 and  ANT201H5,None
 ANT322H5 , Anthropology of Youth ,"This course will present various perspectives on the nature and dynamics of youth culture. The course will examine one or more of the following: capitalism and youth cultures, ethnomusicology, and discourses of ""youth."" Topics may include North American subcultures (such as punk and hip-hop) and/or ethnographies of youth from other parts of the world. The course may also use frameworks from cultural studies and semiotics. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT322H1
 ANT327H5 , Agricultural Origins:  The Second Revolution ,"A second revolution in human existence began when people developed agriculture long after the origin of modern humans and Upper Palaeolithic culture. This course critically evaluates the shift to agriculture in the context of current ecological and archaeological perspectives. The concept of ""agriculture"" is evaluated by considering plant and animal domestication as well as resource management in a broad range of contexts. ",0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT331H5 , The Biology of Human Sexuality ,"Human sexual behaviours will be examined through the lens of evolutionary theory. Through lectures and readings, students will examine such topics as genetic, hormonal, and environmental determinants of sex, sexual selection, and the influence of sex on life history and behaviour. Students will discuss research that has been published in this area, and will develop critical assessments of the literature and films. ",0.5,Science,ANT211H5,ANT202H5 or  ANT203H5 or  ANT211H5,ANT330H5 and  ANT331Y5
 ANT332H5 , Human Origins I: Early Ancestors to Homo ,"What does it mean to be human? Paleoanthropologists address this question by using fossil evidence to piece together our evolutionary history. Who we are today is a product of our biological and geological past. We will begin this quest by looking at ourselves as primates, and then we will traverse back through time to study primate origins, evolution, adaptations, and behaviour until we reach our genus, Homo. ",0.5,Science,None,ANT202H5 and  ANT203H5,ANT332Y5 or  ANT335Y1 or  ANTC16H3 or  ANTC17H3
 ANT333H5 , Human Origins II: The genus Homo ,What does it mean to be human? This course will examine the evolutionary journey through the genus Homo by examining the fossil evidence and the archeological record. Through this examination we will discover the unique biological and behavioural characteristics of modern humans. ,0.5,Science,None,ANT332H5,ANT332Y5 or  ANT335Y1 or  ANTC16H3 or  ANTC17H3
 ANT334H5 , Human Osteology ,"In this course students are given hands-on experience in the identification of the normal anatomy of the adult human skeleton with accompanying muscle function. Metrical variation, growth and development, bone histology, and methods of individual identification are introduced. ",0.5,Science,None,ANT202H5 and  ANT203H5,ANT334Y5 or  ANT334H1 or  ANT334Y1 or  ANTC47H3
 ANT335H5 , Anthropology of Gender ,"Survey of the function of gender roles from evolutionary and cultural perspectives. Cross-cultural variation in human sexual behaviour and gender will be examined. In some years, as part of this course, students may have the option of participating in an international learning experience that will have an additional cost and application process. See Anthropology department website for more details. ",0.5,Social Science,ANT202H5 and  ANT203H5,ANT204H5 or  ANT206H5 or  ANT207H5,ANT331Y5 or  ANT343Y1 or  ANT343H1 or  ANTC15H3
 ANT337H5 , Anthropology of Growth and Development ,"This course examines the fundamental biological principles of growth and how these are expressed throughout evolution. It explores the evolution of growth patterns among primates and hominins and compares patterns of growth among the living primates. The course examines human growth and development throughout infancy, childhood, and adolescence and explores the influence of genetic, epigenetic, and endocrine processes on the plasticity of human growth that ultimately produces the variability observed in our species. The goal of the course is to provide students with a complex understanding of how evolutionary and environmental processes interact in the production of growth and health in human populations.",0.5,Science,None,( ANT202H5 or  ANT203H5) and  ANT220H5,None
 ANT338H5 , Laboratory Methods in Biological Anthropology ,"This lab methods course focuses on laboratory techniques used by biological anthropologists to assess growth, health, and risk of chronic disease in human populations. In this course students will gain practical, hands-on experience in nutrition assessment, anthropometry, physical activity and sleep assessment, and human energy expenditure. State-of-the-art instruments and software are employed, ensuring students gain valuable knowledge of data management and analysis using applications suitable in both clinical and research settings.",0.5,Science,None,( ANT202H5 or  ANT203H5) and  ANT220H5,None
 ANT340H5 , Osteological Theory and Methods ,"This course instructs students in the osteological methods used to interpret the life course of past populations, and the theory underlying these analyses. We will explore how skeletal analyses are employed to interpret group identity and behaviour using a biocultural approach and will address ethical issues pertaining to human remains, including the goals of descendant populations. The theoretical underpinnings of osteobiographical analyses, biological distance studies, paleopathology, and paleodemography will be outlined. Students will observe human morphological skeletal variation as a result of taphonomic processes, sex, age, pathological conditions, and non-metric variance. ",0.5,Science,None,ANT334H5,ANT334Y5 or  ANTC48H3
 ANT341H5 , Anthropology of Infectious Disease ,"Infection is situated at the intersection of social and biological experience. This course examines why infectious disease occupies such a central position in our contemporary understanding of health. It examines the many theoretical and methodological approaches currently used to understand how humans experience infectious illness. Perspectives from bioarchaeology, demography, environmental anthropology, medical history, biocultural anthropology, and medical anthropology are used to examine the way epidemics and infections have been understood throughout human history and how those understandings continue to shape human perceptions of risk, the body and identity. Social inequality is a major focus of inquiry; the course explores how colonialism, globalization and injustice lead to significant and persistent health inequalities for many populations.",0.5,Science,None,( ANT202H5 or  ANT204H5) and  ANT220H5,None
 ANT350H5 , Globalization and the Changing World of Work ,"The course uses ethnographic material to examine ways in which global forces have changed the nature of work in different sites since World War Two -- North America, Europe, and the countries of the South are selectively included. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT350H1
 ANT351H5 ," Money, Markets, Gifts: Topics in Economic Anthropology ","Sociocultural anthropology has, since its inception, questioned the assumption that ""the economy"" ought to be understood as a domain distinguishable from other fields of human interaction, such as religion and kinship, or from power, politics, affect, and morality. This class offers a set of introductory readings that range from the analysis of non-Western forms of exchange and value to the study of capitalism; from stock-markets to the anti-globalization movement. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT378H1 and  ANTC19H3 and  ANTC20H3
 ANT352H5 ," Protest, Power and Authority: Topics in Political Anthropology ","This course explores ethnographically the social and cultural practices through which the exercise of power is legitimized, authorized, and contested, examining such topics as nation-building, non-governmental activism, human rights, and the global ""war on terror."" ",0.5,Social Science,None,ANT204H5 or  ANT207H5 or  POL113H5 or  POL200Y5,ANTC32H3
 ANT353H5 ," Queer Bodies: Gender, Disability, and Illness ","This course explores key concepts in medical anthropology, disability studies, and gender and queer studies by examining how gender and sexuality matter in the contexts of illness and disability across a range of institutional, social, and national contexts. Students will learn to think critically about the body as a site of power configured in the social and material fields of heath/illness, dis/ability, race, and gender and sexuality.",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT381H5S - Special Topics in Sociocultural and Linguistic Anthropology (Winter 2021)
 ANT354H5 , Capitalism and its Rebels ,"This class explores different forms of rebellion, insurgency, protest and political mobilization from an anthropological perspective, focusing specifically on anti-capitalist mobilizations. Grounded in ethnographies that range from studies of piracy, hacking, and the occupy movements, to struggles against the privatization of water and social movements organizing for ""the commons,"" this course offers key insight into contemporary social movements, their deep groundings in the past, and the implications they might have for the future. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT322H5 in Spring 2014
 ANT355H5 ," Disabled Cyborgs and Racist Robots: Bodies, Technologies, and Social Justice ","How does technology mediate our ideas about the social differences of disability, race, and gender? By rethinking the role of technology in reproducing social disparities and challenging bioethical debates about enhancement, students will emerge with the tools to reimagine the relationship between technology, the human body, and social justice.",0.5,Social Science,None,8.0 credits of which 0.5 credits must be a social sciences or humanities course at the 200-level or higher,None
 ANT357H5 ," Nature, People and Power: Topics in Environmental Anthropology ","This course examines anthropological approaches to the environment and environmentalism. Through key readings on indigenous peoples and conservation, traditional ecological knowledge, community-based natural resource management, ecotourism and the human dimensions of climate change, the course explores the complex social, cultural and political encounters that produce 'the environment' as a resource in need of management. ",0.5,Social Science,None,ANT204H5,ANT351H1 and  ANT457H5
 ANT358H5 , Field Methods in Sociocultural Anthropology ,"This course investigates how sociocultural and/or linguistic anthropologists collect data, conduct fieldwork, and interpret research results. The course will benefit students who want to gain an appreciation of research design and practice and those considering graduate-level work in anthropology or another social science. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT369H1 and  ANTC60H3
 ANT360H5 , Anthropology of Religion ,This course considers anthropological approaches to western and non-western religions and religious phenomena. ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT356H1 and  ANTC33H3
 ANT361H5 , Language and Culture in Southeast Asia ,"This course will review the rich tradition of research in linguistic anthropology in Southeast Asia while also drawing selectively on the equally rich tradition of research in socio-cultural anthropology. While the course will focus on the structures and uses of language, the discussion will be contextualized within a broader socio-historical and political frame that considers the long history of trade and migration that has shaped the region as well as the more recent legacies of colonialism, nationalism, socialism and post-socialist market reform.",0.5,Social Science,None,ANT204H5 or  ANT206H5,None
 ANT362H5 , Language in Culture and Society ,"The course aims to introduce students to theoretical questions and contemporary research in linguistic anthropology. Topics include language ideologies, language and media, language and embodiment, as well as core theories in linguistic anthropology. ",0.5,Social Science,None,ANT204H5 or  ANT207H5 and  ANT206H5,None
 ANT363H5 , Magic and Science ,"What's the difference between magic and science? Is there one? This course explores anthropological approaches to magic and science and related topics, raising basic questions about the nature of knowledge: what can we know about the world, and how can we know it? Through close readings of key anthropological texts, we consider what--if anything--differentiates magic and science, belief and truth, subjectivity and objectivity, irrationality and rationality. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,None
 ANT364H5 ," Fieldwork in Language, Culture, and Society ","This course will give students hands-on experience in methods for recording, transcribing, coding, and analyzing ethnographic data in linguistic anthropology. Students will synthesize weekly reading materials focused on these methods with actual, collaborative, in-class practice on a designated topic in the anthropology of everyday social interaction. Through this synthesis students will come to discern the relationship between everyday instances of communication between people and what the patterns of speech in this interaction may say about larger society. Students will be expected to develop their own analyses of the data collected under the guidance of the instructor and to formulate a final project. ",0.5,Social Science,None,ANT204H5 or  ANT206H5 or  JAL353H5,None
 ANT365H5 ," Meaning, Self, Society ","Humans, to paraphrase Clifford Geertz, are suspended in webs of meaning that they themselves have spun. This course introduces students to the tools anthropologists and others have developed in order to analyze and understand these ""webs of meaning."" Readings in philosophy, cultural theory and ethnography will be used to engage with questions regarding the construction of meaning in relation to ethnic identity, social structure, gender, political economy, personhood, and religion. Drawing on classic texts and the tools of semiotics, students will learn to apply the lens of symbolic analysis to interpret a range of contemporary social phenomena. ",0.5,Social Science,None,ANT204H5 or  ANT207H5,None
 ANT367H5 , Sister Species: Lessons from the chimpanzee ,"Chimpanzees are our closest living relatives. In this course we will examine chimpanzee behavior, ecology, morphology, physiology, language, intelligence, and genetics. Through lectures, labs, films and writing assignments we will get an intimate look at every aspect of chimpanzee biology and behavior. Among questions asked will be: Why do animals use or not use tools? Why are animals aggressive? How does physiology influence what chimpanzees can eat and what's healthy to eat? Can chimpanzees use language? Do chimpanzees use medicine? Just how different are chimpanzee bones, muscles, and brains from our own? Throughout the class we will turn to use chimpanzees as a model to better understand ourselves and our place in nature. ",0.5,Science,None,ANT202H5 and  ANT203H5,None
 ANT368H5 , World Religions and Ecology ,"A study of the responses of selected world religious traditions to the emergence of global ecological concerns. Key concepts and tenets of the traditions and their relevance for examination of the environment crisis. In some years, students may additionally have the option of participating in an international learning experience during Reading Week that will have an additional cost and application process.",0.5,Social Science,None,ANT204H5 or  ANT207H5 or  RLG101H5 or  ENV100Y5,RLG311H5
 ANT369H5 , Religious Violence and Nonviolence ,Religious violence and nonviolence as they emerge in the tension between strict adherence to tradition and individual actions of charismatic figures. The place of violence and nonviolence in selected faith traditions. ,0.5,Social Science,None,ANT204H5 or  ANT207H5 or  RLG101H5,RLG317H5
 ANT370H5 ," Environment, Culture and Film ","Our present environmental challenge constitutes of the most pressing areas of contemporary social, cultural, ethical and ecological concern. Acid rain, poisoned air, forest clear-cutting, ozone depletion, global climate change, toxic waste sites--the list goes on--all weigh heavily on our personal and intellectual lives. This course attempts to introduce students to both the scope and seriousness of present ecological concerns, as well as some core principles and concepts in the field of the intersection of environment and culture, through the lens of feature films. Themes such as the precautionary principle, urban/rural dualisms, ecofeminism, deep ecology, and the overwhelming burden placed on poor populations by environmental destruction are but a few of the areas which will be examined through the use of feature films, both classic and contemporary. We will do this in part by touching on some of the major writers and classic essays in the field, Class lectures will be supplemented by audiovisuals, guest lectures and class discussions. ",0.5,Social Science,None,ANT204H5 or  ANT207H5 or  ENV100Y5,None
 ANT380H5 , Special Topics in Biological Anthropology and Archaeology ,"Special course on selected topics in biological anthropology and/or archaeology; focus of topic changes each year. The contact hours for this course may vary in terms of contact type (L,S,T,P) from year to year, but will be between 24-36 contact hours in total. See the UTM Timetable.",0.5,Science,None,Appropriate 200-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
